categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,final_label,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,105,105,,,NO_METHOD,mavenProjectBuilder,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractResolveMojo,1,1,1,1,24,1,10,12,1,0,0,4,-1,0,0,-1,-1,-1,2,2,2,29,0,0,2,0,-1,75,4,27,15,10,44,-1,-1,-1,11,14,10,4,-1,-1,-1,-1,-1,2,2,2,1,-1,4,1,-1,75,75,1.63,3,3,3,2,4,31,46
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,18,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,172,172,,,checkDependencyManagement()Z,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,82,12,58,18,38,12,25,66,2,28,36,17,19,8,8,9,1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.21,8,8,9,1,5,22,24
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,121,121,,,checkDependencyManagement()Z,project,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.AnalyzeDepMgt.checkDependencyManagement,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,82,12,58,18,38,12,25,66,2,28,36,17,19,8,8,9,1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.21,8,8,9,1,12,22,24
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,326,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,8,8,12
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,2,20,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,NO_FIELD,unfixed,326,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,8,8,12
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,NO_METHOD,project,unfixed,326,FP,,FP,Public Class,org.apache.maven.plugin.dependency.AnalyzeDuplicateMojo,7,7,8,1,44,5,39,0,1,0,0,0,-1,0,0,-1,-1,-1,2,1,2,2,0,1,0,1,-1,112,12,83,15,41,17,-1,-1,-1,31,44,16,28,-1,-1,-1,-1,-1,13,13,14,1,-1,2,4,-1,50,50,0.2,15,15,16,2,4,4,12
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,ded224486b243e74854e864f4f2107235d7a13bc,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,67,67,,,execute()V,project,unfixed,326,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,8,8,12
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,178,178,,,NO_METHOD,siteRenderer,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,3,12,21
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,111,111,,,executeReport(Ljava/util/Locale;)V,analyzer,unfixed,372,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AnalyzeReportMojo.executeReport,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,34,4,26,5,15,4,9,4,1,11,15,5,10,4,4,5,3,3,-1,-1,-1,-1,2,-1,1,2,-1,-1,0.15,4,4,5,3,3,6,21
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,101,101,,,NO_METHOD,outputDirectory,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,3,12,21
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,111,111,,,NO_METHOD,analyzer,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,3,12,21
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,168,168,,,getOutputDirectory()Ljava/lang/String;,outputDirectory,unfixed,372,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AbstractFromDependenciesMojo.getOutputDirectory,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,0,4,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0.75,1,1,1,1,3,3,21
CORRECTNESS,NP_UNWRITTEN_FIELD,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,95,95,,,executeReport(Ljava/util/Locale;)V,project,unfixed,372,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AnalyzeReportMojo.executeReport,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,34,4,26,5,15,4,9,4,1,11,15,5,10,4,4,5,3,3,-1,-1,-1,-1,2,-1,1,2,-1,-1,0.15,4,4,5,3,3,6,21
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,95,95,,,NO_METHOD,project,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.AnalyzeReportMojo,1,1,1,1,8,0,6,1,1,1,1,0,-1,0,0,-1,-1,-1,8,4,8,8,0,0,4,4,-1,159,21,63,18,23,75,-1,-1,-1,23,35,17,18,-1,-1,-1,-1,-1,4,4,5,3,-1,2,1,-1,81,81,1.19,11,11,12,10,3,12,21
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,337,337,,,storeClasspathFile(Ljava/lang/String;Ljava/io/File;)V,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.BuildClasspathMojo.storeClasspathFile,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,41,6,28,3,14,7,7,3,0,7,10,2,8,3,3,3,1,2,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.25,3,3,3,1,6,25,163
I18N,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,383,383,,,readClasspathFile()Ljava/lang/String;,NO_FIELD,unfixed,372,FP,,FP,Protected Method,org.apache.maven.plugin.dependency.BuildClasspathMojo.readClasspathFile,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,38,3,28,5,13,7,6,6,1,8,13,4,9,4,4,4,1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.25,4,4,4,1,6,23,163
CORRECTNESS,NP_NULL_PARAM_DEREF,2,8,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,202,202,,,execute()V,NO_FIELD,unfixed,372,FP,,FP,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,3,15,163
BAD_PRACTICE,ES_COMPARING_PARAMETER_STRING_WITH_EQ,3,19,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,310,310,,,isUpdToDate(Ljava/lang/String;)Z,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.BuildClasspathMojo.isUpdToDate,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,21,1,13,2,6,7,5,2,0,4,6,2,4,2,2,4,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,0.54,2,2,4,1,3,17,163
CORRECTNESS,UWF_UNWRITTEN_FIELD,3,15,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,190,190,,,NO_METHOD,attach,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.BuildClasspathMojo,2,2,2,1,15,1,10,3,2,1,1,0,-1,0,0,-1,-1,-1,26,13,26,53,0,2,4,20,-1,530,69,294,63,122,167,-1,-1,-1,93,146,57,89,-1,-1,-1,-1,-1,15,15,18,5,-1,4,2,-1,89,89,0.57,52,52,58,30,3,52,163
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,331,331,,,storeClasspathFile(Ljava/lang/String;Ljava/io/File;)V,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.BuildClasspathMojo.storeClasspathFile,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,41,6,28,3,14,7,7,3,0,7,10,2,8,3,3,3,1,2,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.25,3,3,3,1,4,25,163
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,164,164,,,NO_METHOD,cpFile,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.BuildClasspathMojo,2,2,2,1,15,1,10,3,2,1,1,0,-1,0,0,-1,-1,-1,26,13,26,53,0,2,4,20,-1,530,69,294,63,122,167,-1,-1,-1,93,146,57,89,-1,-1,-1,-1,-1,15,15,18,5,-1,4,2,-1,89,89,0.57,52,52,58,30,4,52,163
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,52,570,,,NO_METHOD,NO_FIELD,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.BuildClasspathMojo,2,2,2,1,15,1,10,3,2,1,1,0,-1,0,0,-1,-1,-1,26,13,26,53,0,2,4,20,-1,530,69,294,63,122,167,-1,-1,-1,93,146,57,89,-1,-1,-1,-1,-1,15,15,18,5,-1,4,2,-1,89,89,0.57,52,52,58,30,51,52,163
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,1,16,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,422,422,,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,NO_FIELD,unfixed,372,FP,,FP,Public Method,org.apache.maven.plugin.dependency.BuildClasspathMojo.compare,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,39,3,27,5,14,9,5,5,1,9,14,5,9,5,5,6,5,7,-1,-1,-1,-1,7,-1,2,7,-1,-1,0.33,5,5,6,5,4,18,163
CORRECTNESS,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,268,268,,,NO_METHOD,projectHelper,unfixed,372,FP,,FP,Public Class,org.apache.maven.plugin.dependency.BuildClasspathMojo,2,2,2,1,15,1,10,3,2,1,1,0,-1,0,0,-1,-1,-1,26,13,26,53,0,2,4,20,-1,530,69,294,63,122,167,-1,-1,-1,93,146,57,89,-1,-1,-1,-1,-1,15,15,18,5,-1,4,2,-1,89,89,0.57,52,52,58,30,3,52,163
